group,ring_min,ring_max,ring_label,intensity,use_construction,fe_spec,cluster_var,treat_scope,contam_scope,contam_timing,contam_buffer,ref_year,term,estimate,se,p_value,n_obs,n_treat_obs,n_ctrl_obs,n_treat_px,n_ctrl_px,n_treat_dcs,n_ctrl_dcs,ratio_px
non_hs,300,600,300-600m,FALSE,TRUE,pixel_id + year,export_id,NA,NA,NA,NA,-4,construction_period,0.23275139320768545,0.08789348895609131,0.009065908266029552,76107819,13672464,62435355,156633,716845,135,135,0.21850330266654577
all,0,600,0-600m,FALSE,TRUE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.3060427700179731,0.12441683331322463,0.01508458346953161,88261256,19912648,68348608,223949,768741,145,145,0.2913191829237676
all,0,600,0-600m,FALSE,TRUE,pixel_id + year,export_id,NA,NA,NA,NA,-4,construction_period,0.20548095785744613,0.09737881684478066,0.03657716951740664,88261256,19912648,68348608,223949,768741,145,145,0.2913191829237676
non_hs,0,600,0-600m,FALSE,TRUE,pixel_id + year,export_id,NA,NA,NA,NA,-4,treated_post,0.27452214199583685,0.12823338242464086,0.03410044050145576,80639416,18204061,62435355,208834,716845,135,135,0.2913237868716389
non_hs,0,600,0-600m,FALSE,TRUE,pixel_id + year,export_id,NA,NA,NA,NA,-4,construction_period,0.24172214856259383,0.09635558576191278,0.013311903794676814,80639416,18204061,62435355,208834,716845,135,135,0.2913237868716389
all,0,150,0-150m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.44733079819816124,0.1705716487608662,0.009666647780806604,58665555,1230712,57434843,13975,621557,145,145,0.022483859082915968
all,0,150,0-150m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,construction_period,0.468352548648193,0.1933898520284116,0.016687137247768012,58665555,1230712,57434843,13975,621557,145,145,0.022483859082915968
non_hs,0,150,0-150m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.3259203880636976,0.17326675627962365,0.062137397277570644,53776729,1125442,52651287,13031,583727,135,135,0.0223237917725238
non_hs,0,150,0-150m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,construction_period,0.4805761897908751,0.18818009788604736,0.011774082190771924,53776729,1125442,52651287,13031,583727,135,135,0.0223237917725238
all,0,300,0-300m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.30475949968323623,0.09965044519894971,0.0026548921613316384,62391398,4956555,57434843,55976,621557,145,145,0.09005770991236524
all,0,300,0-300m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,construction_period,0.27408053053667686,0.11965424330847783,0.023438229498829673,62391398,4956555,57434843,55976,621557,145,145,0.09005770991236524
non_hs,0,300,0-300m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.26561591203805257,0.10693414779716581,0.01422782734295799,57182832,4531545,52651287,52201,583727,135,135,0.08942707806902885
non_hs,0,300,0-300m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,construction_period,0.31014825267989055,0.11711375089328367,0.009061894260123042,57182832,4531545,52651287,52201,583727,135,135,0.08942707806902885
all,300,600,300-600m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.2984086308492505,0.09815345456713506,0.0028090054236507146,72390298,14955455,57434843,167973,621557,145,145,0.2702455285677742
all,300,600,300-600m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,construction_period,0.2329212007352912,0.09025502328789342,0.010859831332710589,72390298,14955455,57434843,167973,621557,145,145,0.2702455285677742
non_hs,300,600,300-600m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.3069725536964141,0.10753740930537214,0.004995470541521566,66323165,13671878,52651287,156633,583727,135,135,0.26833262809498276
non_hs,300,600,300-600m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,construction_period,0.28591439517640804,0.08716630229770285,0.0013226416258543708,66323165,13671878,52651287,156633,583727,135,135,0.26833262809498276
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.30167325351158814,0.0927885777527195,0.0014312157042734744,77346853,19912010,57434843,223949,621557,145,145,0.3603032384801394
all,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,construction_period,0.24528790724598656,0.09299212104123873,0.009263585012553449,77346853,19912010,57434843,223949,621557,145,145,0.3603032384801394
non_hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,treated_post,0.2988490728823297,0.10282003077497558,0.0042778800464794205,70854710,18203423,52651287,208834,583727,135,135,0.3577597061640116
non_hs,0,600,0-600m,TRUE,TRUE,pixel_id + year,export_id,all,all,static,0,-4,construction_period,0.29413386473303205,0.09042895223294978,0.0014468031582397136,70854710,18203423,52651287,208834,583727,135,135,0.3577597061640116
