group,ring_min,ring_max,ring_label,intensity,use_construction,drop_unknown_controls,fe_spec,ref_year,term,estimate,se,p_value,n_obs,n_treat_obs,n_ctrl_obs,n_treat_px,n_ctrl_px,n_treat_dcs,n_ctrl_dcs,ratio_px
non_hs,0,600,0-600m,FALSE,TRUE,TRUE,pixel_id + year,-4,treated_post,0.27452214199677677,0.1282333824250039,0.03410044050135135,80639416,18204061,62435355,208834,716845,135,135,0.2913237868716389
non_hs,0,600,0-600m,FALSE,TRUE,TRUE,pixel_id + year,-4,construction_period,0.24172214856355484,0.09635558576228027,0.01331190379466223,80639416,18204061,62435355,208834,716845,135,135,0.2913237868716389
all,0,150,0-150m,TRUE,TRUE,TRUE,pixel_id + year,-4,treated_post,0.4473307981977099,0.17057164876073563,0.009666647780823876,58665555,1230712,57434843,13975,621557,145,145,0.022483859082915968
all,0,150,0-150m,TRUE,TRUE,TRUE,pixel_id + year,-4,construction_period,0.46835254864661313,0.1933898520276499,0.016687137247707654,58665555,1230712,57434843,13975,621557,145,145,0.022483859082915968
non_hs,0,150,0-150m,TRUE,TRUE,TRUE,pixel_id + year,-4,treated_post,0.32592038806343193,0.17326675627950874,0.06213739727760977,53776729,1125442,52651287,13031,583727,135,135,0.0223237917725238
non_hs,0,150,0-150m,TRUE,TRUE,TRUE,pixel_id + year,-4,construction_period,0.4805761897910457,0.1881800978860962,0.01177408219076406,53776729,1125442,52651287,13031,583727,135,135,0.0223237917725238
all,0,300,0-300m,TRUE,TRUE,TRUE,pixel_id + year,-4,treated_post,0.3047594996817284,0.09965044519849364,0.002654892161341074,62391398,4956555,57434843,55976,621557,145,145,0.09005770991236524
all,0,300,0-300m,TRUE,TRUE,TRUE,pixel_id + year,-4,construction_period,0.27408053053451986,0.11965424330789245,0.02343822949923534,62391398,4956555,57434843,55976,621557,145,145,0.09005770991236524
non_hs,0,300,0-300m,TRUE,TRUE,TRUE,pixel_id + year,-4,treated_post,0.26561591203668605,0.10693414779664313,0.014227827342982313,57182832,4531545,52651287,52201,583727,135,135,0.08942707806902885
non_hs,0,300,0-300m,TRUE,TRUE,TRUE,pixel_id + year,-4,construction_period,0.31014825267852675,0.11711375089284574,0.009061894260167392,57182832,4531545,52651287,52201,583727,135,135,0.08942707806902885
all,300,600,300-600m,TRUE,TRUE,TRUE,pixel_id + year,-4,treated_post,0.29840863084677427,0.09815345456648594,0.0028090054236955746,72390298,14955455,57434843,167973,621557,145,145,0.2702455285677742
all,300,600,300-600m,TRUE,TRUE,TRUE,pixel_id + year,-4,construction_period,0.23292120073220027,0.0902550232870162,0.010859831332985823,72390298,14955455,57434843,167973,621557,145,145,0.2702455285677742
non_hs,300,600,300-600m,TRUE,TRUE,TRUE,pixel_id + year,-4,treated_post,0.30697255369672377,0.10753740930542592,0.004995470541500055,66323165,13671878,52651287,156633,583727,135,135,0.26833262809498276
non_hs,300,600,300-600m,TRUE,TRUE,TRUE,pixel_id + year,-4,construction_period,0.28591439517685097,0.08716630229782221,0.001322641625851813,66323165,13671878,52651287,156633,583727,135,135,0.26833262809498276
