ring_min,ring_max,ring_label,intensity,use_construction,cluster_var,treat_scope,contam_scope,ref_year,fe_spec,term,estimate,se,p_value,n_obs,n_treat_obs,n_ctrl_obs,n_treat_px,n_ctrl_px,n_treat_dcs,n_ctrl_dcs,ratio_px
0,600,0-600m,FALSE,TRUE,export_id,NA,NA,-4,pixel_id + year^export_id,construction_period,0.10437751316318225,0.1942913373421072,0.5985069938868888,29845818,6706695,23139123,27106,91033,17,17,0.29776015291158153
300,600,300-600m,TRUE,TRUE,export_id,hs_only,all,-4,pixel_id + year^export_id,treated_post,0.2509241347919513,0.20920327809048547,0.2478230933978993,23902484,5030494,18871990,20203,68904,17,17,0.29320503889469407
300,600,300-600m,TRUE,TRUE,export_id,hs_only,all,-4,pixel_id + year^export_id,construction_period,0.05864554446009537,0.19428644513532822,0.7666538218586867,23902484,5030494,18871990,20203,68904,17,17,0.29320503889469407
0,300,0-300m,TRUE,TRUE,export_id,hs_only,all,-4,pixel_id + year^export_id,treated_post,0.2882974863502708,0.3882381773646521,0.46849949175843764,20548184,1676194,18871990,6903,68904,17,17,0.1001828631138976
0,300,0-300m,TRUE,TRUE,export_id,hs_only,all,-4,pixel_id + year^export_id,construction_period,0.13984555458081815,0.3187547588973516,0.666727631167829,20548184,1676194,18871990,6903,68904,17,17,0.1001828631138976
0,600,0-600m,TRUE,TRUE,export_id,hs_only,all,-4,pixel_id + year^export_id,treated_post,0.23960123173139788,0.24246320342197852,0.3377660577772956,25578678,6706688,18871990,27106,68904,17,17,0.39338790200859164
0,600,0-600m,TRUE,TRUE,export_id,hs_only,all,-4,pixel_id + year^export_id,construction_period,0.06279362665035165,0.19058339561700866,0.7460659930096022,25578678,6706688,18871990,27106,68904,17,17,0.39338790200859164
300,600,300-600m,FALSE,FALSE,export_id,NA,NA,-4,pixel_id + year^month,treated_post,0.29665076207278174,0.3014299421977635,0.3396932519825132,27798750,4659627,23139123,20203,91033,17,17,0.22193050871661923
0,300,0-300m,FALSE,FALSE,export_id,NA,NA,-4,pixel_id + year^month,treated_post,0.36881729810201985,0.5700122537342779,0.5267845202859628,24692455,1553332,23139123,6903,91033,17,17,0.07582964419496227
0,600,0-600m,FALSE,FALSE,export_id,NA,NA,-4,pixel_id + year^month,treated_post,0.30955542742000375,0.3407276306730353,0.37708908559966703,29352082,6212959,23139123,27106,91033,17,17,0.29776015291158153
