asset,model,term,estimate,std_error,p_val,n_dcs,sig,ci_lo,ci_hi,threshold
landsat_iso10000m,twfe,treated_post,-0.13339566819549586,0.12254646660607733,0.2856415260289914,30,FALSE,-0.3735867427434074,0.10679540635241572,10000
landsat_iso10000m,twfe,construction_period,0.06730367029226991,0.15830828141498374,0.6739819991410023,30,FALSE,-0.24298056128109818,0.377587901865638,10000
landsat_iso10000m,interactive,treated_post,-0.1322299672309592,0.12246730006723947,0.28948160612566015,30,FALSE,-0.3722658753627486,0.10780594090083015,10000
landsat_iso10000m,interactive,construction_period,0.06927139204827404,0.15811876699977445,0.664677142855832,30,FALSE,-0.24064139127128387,0.37918417536783194,10000
landsat_iso10000m,twfe_power,NA,-0.015353327378264628,0.046851907318762945,0.7469199618776089,19,FALSE,-0.10718306572304,0.07647641096651074,10000
landsat_iso10000m,interactive_power,NA,-0.01411615181729381,0.04681355727329559,0.7664588094388237,19,FALSE,-0.10587072407295317,0.07763842043836555,10000
landsat_iso2500m,twfe,treated_post,-0.11730791032600886,0.07065929651032463,0.10353444214093319,49,FALSE,-0.25580013148624514,0.021184310834227407,2500
landsat_iso2500m,twfe,construction_period,0.004487971474739366,0.08058240047881435,0.9558215165761985,49,FALSE,-0.15345353346373675,0.16242947641321548,2500
landsat_iso2500m,interactive,treated_post,-0.12263184043123844,0.0717791032231639,0.0941479649770702,49,FALSE,-0.2633188827486397,0.018055201886162817,2500
landsat_iso2500m,interactive,construction_period,0.00543108230335157,0.08114411499922859,0.9469202990480869,49,FALSE,-0.15361138309513647,0.1644735477018396,2500
landsat_iso2500m,twfe_power,NA,-0.01180205123730544,0.03156319814983896,0.7107209053077808,36,FALSE,-0.07366591961098981,0.050061817136378924,2500
landsat_iso2500m,interactive_power,NA,-0.014506531333965022,0.030838603160429343,0.6409863230056182,36,FALSE,-0.07495019352840654,0.04593713086047649,2500
landsat_iso5000m,twfe,treated_post,-0.11059193903178352,0.09798337781526383,0.2661080316794753,40,FALSE,-0.3026393595497006,0.08145548148613357,5000
landsat_iso5000m,twfe,construction_period,0.10411558429839968,0.10911448820936277,0.346019999563853,40,FALSE,-0.10974881259195135,0.3179799811887507,5000
landsat_iso5000m,interactive,treated_post,-0.11534252485208385,0.09801423080139872,0.24659687840421968,40,FALSE,-0.30745041722282535,0.07676536751865765,5000
landsat_iso5000m,interactive,construction_period,0.11184750939889698,0.11072472496784969,0.3188171813973831,40,FALSE,-0.1051729515380884,0.32886797033588233,5000
landsat_iso5000m,twfe_power,NA,-0.03284796892136207,0.03922859284804587,0.41002842470378376,27,FALSE,-0.10973601090353197,0.04404007306080784,5000
landsat_iso5000m,interactive_power,NA,-0.03097662899303768,0.039253581634626215,0.4371667727829115,27,FALSE,-0.10791364899690506,0.04596039101082971,5000
landsat_iso7500m,twfe,treated_post,-0.06953386360941932,0.13508775365685713,0.6102782003877294,34,FALSE,-0.3343058607768593,0.19523813355802067,7500
landsat_iso7500m,twfe,construction_period,0.17230414068175,0.14664473910446252,0.2486733012314862,34,FALSE,-0.11511954796299653,0.4597278293264966,7500
landsat_iso7500m,interactive,treated_post,-0.0724887221736803,0.13318139039960744,0.5900177611248781,34,FALSE,-0.3335242473569109,0.1885468030095503,7500
landsat_iso7500m,interactive,construction_period,0.17577364780921237,0.1482523452479708,0.24449495858191472,34,FALSE,-0.11480094887681039,0.46634824449523515,7500
landsat_iso7500m,twfe_power,NA,-0.020861213897743168,0.04432889002138102,0.6427769927772085,22,FALSE,-0.10774583833964996,0.06602341054416364,7500
landsat_iso7500m,interactive_power,NA,-0.018317518985959624,0.044160635323818795,0.6825003483557635,22,FALSE,-0.10487236422064446,0.06823732624872521,7500
