ring,intensity,term,estimate,se,p,nobs
0-300,TRUE,treated_post,0.816913767605742,0.2213896691582067,0.004997878191126301,5919558
300-600,TRUE,treated_post,0.2891349567202337,0.21591479255195553,0.21336856626186843,6648115
